OpenSimKit output file created by OpenSimKit Java Version 3.7beta
Start time: 2012-07-28T13:12:03.421
System: Rocket propulsion system
Case:   nominal operation
Note:   03.01.2011

Result-table:
Mission Time	20_ENGINE-THRUST	20_ENGINE-ALT	22_STRUCTURE-SCVELOCITYX	22_STRUCTURE-SCVELOCITYY	22_STRUCTURE-SCVELOCITYZ	22_STRUCTURE-SCPOSITIONX	22_STRUCTURE-SCPOSITIONY	22_STRUCTURE-SCPOSITIONZ	22_STRUCTURE-SCPOSX_ECEF	22_STRUCTURE-SCPOSY_ECEF	22_STRUCTURE-SCPOSZ_ECEF	22_STRUCTURE-SCVELX_ECEF	22_STRUCTURE-SCVELY_ECEF	22_STRUCTURE-SCVELZ_ECEF	22_STRUCTURE-SCPOSLAT	22_STRUCTURE-SCPOSLON	22_STRUCTURE-SCPOSALT
2010-03-01T23:11:20.000	100.000000	661181.365220	-6584.512936	1357.314679	3539.357180	3419056.087381	2193717.146899	5731398.809632	-1689334.013001	-3688935.405187	5734908.711844	6009.643476	2536.500844	3532.662313	0.957932	-2.000239	661181.365220
2010-03-01T23:11:40.000	100.000000	663523.454786	-6663.232117	1307.125630	3407.879743	3286494.821625	2220312.310183	5800742.182351	-1568633.184237	-3637452.021905	5804117.293359	6056.100976	2603.147717	3401.104069	0.974746	-1.977945	663523.454786
2010-03-01T23:12:00.000	100.000000	665916.850538	-6738.846733	1256.373889	3274.931816	3152393.269870	2245897.461225	5867439.721567	-1447031.894102	-3584650.713595	5870678.459894	6099.965956	2668.415034	3268.078493	0.991276	-1.954466	665916.850538
2010-03-01T23:12:20.000	100.000000	668361.757626	-6811.325775	1205.084810	3140.579997	3016813.867360	2270461.624702	5931462.749055	-1324582.211639	-3530559.321694	5934563.596725	6141.218382	2732.280870	3133.652213	1.007497	-1.929722	668361.757626
2010-03-01T23:12:40.000	100.000000	670858.370467	-6880.639961	1153.283974	3004.891468	2879819.650547	2293994.334893	5992783.925034	-1201336.591554	-3475206.116824	5995745.428196	6179.839584	2794.724151	2997.892442	1.023383	-1.903624	670858.370467
2010-03-01T23:13:00.000	100.000000	673406.873357	-6946.761755	1100.997167	2867.933952	2741474.222343	2316485.639968	6051377.259404	-1077347.846718	-3418619.781651	6054198.028910	6215.812268	2855.724668	2860.866934	1.038906	-1.876086	673406.873357
2010-03-01T23:13:20.000	100.000000	676007.441050	-7009.665375	1048.250365	2729.775673	2601841.717097	2337926.105946	6107218.122109	-952669.120613	-3360829.393531	6109896.834065	6249.120525	2915.263080	2722.643936	1.054032	-1.847013	676007.441050
2010-03-01T23:13:40.000	100.000000	678660.239311	-7069.326808	995.069720	2590.485309	2460986.765350	2358306.820337	6160283.252633	-827353.859602	-3301864.407029	6162818.648909	6279.749834	2973.320924	2583.292153	1.068727	-1.816313	678660.239311
2010-03-01T23:14:00.000	100.000000	681365.425420	-7125.723816	941.481542	2450.131950	2318974.458388	2377619.395435	6210550.768611	-701455.784965	-3241754.636336	6212941.657317	6307.687077	3029.880617	2442.880696	1.082954	-1.783893	681365.425420
2010-03-01T23:14:20.000	100.000000	684123.148650	-7178.835948	887.512280	2308.785049	2175870.312626	2395855.971290	6258000.173565	-575028.864921	-3180530.237539	6260245.429492	6332.920533	3084.925468	2301.479042	1.096671	-1.749661	684123.148650
2010-03-01T23:14:40.000	100.000000	686933.550709	-7228.644540	833.188507	2166.514387	2031740.233848	2413009.218344	6302612.363757	-448127.286565	-3118221.690807	6304710.928778	6355.439893	3138.439674	2159.156989	1.109835	-1.713531	686933.550709
2010-03-01T23:15:00.000	100.000000	689796.766141	-7275.132727	778.536906	2023.390021	1886650.481344	2429072.339731	6344369.634162	-320805.427629	-3054859.782511	6346320.517598	6375.236253	3190.408330	2015.984611	1.122398	-1.675428	689796.766141
2010-03-01T23:15:20.000	100.000000	692712.922701	-7318.285438	723.584250	1879.482243	1740667.631959	2444039.073250	6383255.683557	-193117.828316	-2990475.587256	6385057.962509	6392.302126	3240.817431	1872.032218	1.134309	-1.635284	692712.922701
2010-03-01T23:15:40.000	100.000000	695682.141690	-7358.089409	668.357385	1734.861536	1593858.544090	2457903.692999	6419255.618737	-65119.163040	-2925100.449879	6420908.438377	6406.631431	3289.653871	1727.370305	1.145516	-1.593055	695682.141690
2010-03-01T23:16:00.000	100.000000	698704.538260	-7394.533172	612.883217	1589.598531	1446290.321662	2470661.010682	6452355.957856	63135.787768	-2858765.967405	6453858.531687	6418.219504	3336.905448	1582.069516	1.155964	-1.548715	698704.538260
2010-03-01T23:16:20.000	100.000000	701780.221690	-7427.607063	557.188692	1443.763962	1298030.278101	2482306.376589	6482544.632900	191592.165944	-2791503.970982	6483896.242970	6427.063089	3382.560863	1436.200596	1.165595	-1.502270	701780.221690
2010-03-01T23:16:40.000	100.000000	704909.295624	-7457.303217	501.300782	1297.428626	1149145.900335	2492835.680245	6509810.991289	320195.063744	-2723346.507812	6511010.988380	6433.160338	3426.609719	1289.834348	1.174351	-1.453760	704909.295624
2010-03-01T23:17:00.000	100.000000	708091.858286	-7483.615562	445.246467	1150.663336	999704.812845	2502245.350729	6534145.796628	448889.551936	-2654325.823093	6535193.600399	6436.510808	3469.042522	1143.041593	1.182176	-1.403265	708091.858286
2010-03-01T23:17:20.000	100.000000	711328.002664	-7506.539822	389.052721	1003.538882	849774.741801	2510532.356680	6555541.228606	577620.707910	-2584474.341966	6556436.327702	6437.115458	3509.850682	995.893125	1.189014	-1.350913	711328.002664
2010-03-01T23:17:40.000	100.000000	714617.816666	-7526.073503	332.746493	856.125987	699423.479290	2517694.205974	6573990.882037	706333.643605	-2513824.651508	6574732.834166	6434.976640	3549.026504	848.459671	1.194814	-1.296879	714617.816666
2010-03-01T23:18:00.000	100.000000	717961.383248	-7542.215891	276.354695	708.495266	548718.847672	2523728.945080	6589489.765080	834973.533324	-2442409.482776	6590078.197049	6430.098099	3586.563194	700.811846	1.199530	-1.241387	717961.383248
2010-03-01T23:18:20.000	100.000000	721358.780516	-7554.968044	219.904183	560.717185	397728.664082	2528635.158107	6602034.296614	963485.641503	-2370261.692880	6602468.904326	6422.484959	3622.454849	553.020114	1.203121	-1.184708	721358.780516
2010-03-01T23:18:40.000	100.000000	724810.081804	-7564.332782	163.421741	412.862017	246520.705095	2532411.965530	6611622.302792	1091815.350255	-2297414.247146	6611902.851217	6412.143722	3656.696457	405.154748	1.205558	-1.127155	724810.081804
2010-03-01T23:19:00.000	100.000000	728315.355723	-7570.314678	106.934069	264.999806	95162.671590	2535059.022610	6618253.012782	1219908.186755	-2223900.201364	6618379.335882	6399.082254	3689.283894	257.285787	1.206820	-1.069071	728315.355723
2010-03-01T23:19:20.000	100.000000	731874.666187	-7572.920047	50.467764	117.200324	-56277.846184	2536576.517497	6621927.053691	1347709.850517	-2149752.684094	6621899.054315	6383.309782	3720.213914	109.482996	1.206896	-1.010822	731874.666187
2010-03-01T23:19:22.000	100.000000	732233.571564	-7572.995169	44.823330	102.426503	-71423.836523	2536666.164156	6622131.906696	1360471.917626	-2142304.368627	6622088.472378	6381.583825	3723.215660	94.709033	1.206838	-1.005002	732233.571564

End time: 2012-07-28T13:15:35.781
Simulation duration: 0d 0h 3m 212s 212360mu 
